MAC003275,0.089,Affluent,Std
MAC003275,0.151,Affluent,Std
MAC004367,0.1,Affluent,Std
MAC000598,0.126,Affluent,ToU
MAC004367,0.082,Affluent,Std
MAC004504,0.437,Affluent,Std
MAC004040,0.152,Affluent,Std
MAC004367,0.08,Affluent,Std
MAC000598,0.08,Affluent,ToU
MAC000598,0.161,Affluent,ToU
MAC005490,0.156,Affluent,Std
MAC004415,0.245,Affluent,Std
MAC005490,0.226,Affluent,Std
MAC003933,0.455,Affluent,Std
MAC004673,0.019,Affluent,Std
MAC004664,0.076,Affluent,Std
MAC004664,0.112,Affluent,Std
MAC003731,0.171,Affluent,Std
MAC003731,0.045,Affluent,Std
MAC000005,0.034,Affluent,ToU
MAC003933,0.081,Affluent,Std
MAC003731,0.216,Affluent,Std
MAC003912,0.051,Affluent,Std
MAC000005,0.027,Affluent,ToU
MAC000005,0.093,Affluent,ToU
MAC003933,0.135,Affluent,Std
MAC004664,0.396,Affluent,Std
MAC000017,0.736,Affluent,ToU
MAC004406,0.084,Affluent,Std
MAC000017,0.066,Affluent,ToU
MAC004406,0.237,Affluent,Std
MAC000017,0.075,Affluent,ToU
MAC003260,0.619,Affluent,Std
MAC003260,0.103,Affluent,Std
MAC004406,0.14,Affluent,Std
MAC003299,0.392,Affluent,Std
MAC004504,0.473,Affluent,Std
MAC004504,0.271,Affluent,Std
MAC003912,0.21,Affluent,Std
MAC004367,0.045,Affluent,Std
MAC005028,0.185,Affluent,Std
MAC004367,1.352,Affluent,Std
MAC003907,0.095,Affluent,Std
MAC002797,0.299,Affluent,ToU
MAC002797,0.041,Affluent,ToU
MAC003061,0.222,Affluent,ToU
MAC003231,1.013,Affluent,Std
MAC004585,0.096,Affluent,Std
MAC003283,0.245,Affluent,Std
MAC004029,0.141,Affluent,Std
MAC003278,0.453,Affluent,Std
MAC004029,0.255,Affluent,Std
MAC004989,0.039,Affluent,Std
MAC003787,0.072,Affluent,Std
MAC003313,0.335,Affluent,Std
MAC003787,0.288,Affluent,Std
MAC004455,0.15,Affluent,Std
MAC003787,0.174,Affluent,Std
MAC004249,0.625,Affluent,Std
MAC004249,0.817,Affluent,Std
MAC004455,0.147,Affluent,Std
MAC004108,0.151,Affluent,Std
MAC000017,0.07,Affluent,ToU
MAC004447,0.067,Affluent,Std
MAC003776,0.152,Affluent,Std
