temp_max,weather_icon,cloud_cover,wind_speed,humidity,weather_date,temp_min,weather_summary
15.2,wind,0.66,2.53,0.88,9/23/2012 23:00,11.51,"Foggy in the morning and breezy starting in the afternoon, continuing until evening."
4.84,fog,0.59,1.78,0.88,2/12/2012 0:00,-4.46,Foggy until afternoon.
11.27,partly-cloudy-day,0.41,3.89,0.81,5/14/2012 23:00,5.92,Partly cloudy until evening.
20.13,wind,0.48,5.76,0.71,6/29/2012 23:00,13.61,"Partly cloudy until evening and breezy starting in the afternoon, continuing until evening."
20.69,wind,0.56,5.42,0.68,9/13/2012 23:00,13.61,Breezy in the morning and partly cloudy throughout the day.
5.84,partly-cloudy-day,0.36,3.2,0.83,11/29/2012 0:00,1.63,Partly cloudy until evening.
17.12,wind,0.79,6.59,0.9,5/9/2012 23:00,14.44,Breezy in the morning and mostly cloudy throughout the day.
15.83,partly-cloudy-day,0.17,3.36,0.75,9/28/2012 23:00,8.71,Partly cloudy until afternoon.
21.14,partly-cloudy-day,0.1,0.82,0.49,3/27/2012 23:00,4.88,Partly cloudy until afternoon.
12.44,partly-cloudy-day,0.65,1.69,0.88,11/17/2012 0:00,8.18,Mostly cloudy throughout the day.
14.44,partly-cloudy-day,0.16,2.6,0.58,5/11/2012 23:00,5.69,Partly cloudy until afternoon.
11.51,partly-cloudy-day,0.56,5.23,0.85,1/19/2012 0:00,6.91,Partly cloudy throughout the day.
7.22,partly-cloudy-day,0.55,1.93,0.78,3/6/2012 0:00,3.74,Mostly cloudy until evening.
11.41,partly-cloudy-day,0.43,4.56,0.8,5/13/2012 23:00,6.94,Mostly cloudy until evening.
17.92,partly-cloudy-day,0.3,3.53,0.75,7/28/2012 23:00,10.97,Partly cloudy throughout the day.
22.92,partly-cloudy-day,0.56,2.82,0.69,6/25/2012 23:00,14.04,Mostly cloudy throughout the day.
12.62,fog,0.55,1.86,0.86,11/14/2012 0:00,7.33,Foggy overnight.
9.42,partly-cloudy-night,0.3,0.72,0.82,11/18/2012 0:00,2.07,"Partly cloudy starting in the afternoon, continuing until evening."
17.92,wind,0.38,6.62,0.61,6/8/2012 23:00,11.02,Partly cloudy until evening and breezy until afternoon.
10.69,partly-cloudy-day,0.64,1.29,0.91,11/26/2012 0:00,7.17,Mostly cloudy throughout the day.
27.16,partly-cloudy-day,0.31,3.03,0.75,6/27/2012 23:00,16.23,Partly cloudy until evening.
9.67,partly-cloudy-day,0.63,2.4,0.86,4/22/2012 23:00,6.89,Mostly cloudy throughout the day.
12.13,partly-cloudy-day,0.32,1.31,0.77,4/11/2012 23:00,3.68,Partly cloudy throughout the day.
15.62,partly-cloudy-day,0.28,1.98,0.69,9/21/2012 23:00,6.59,Partly cloudy throughout the day.
13.08,partly-cloudy-day,0.72,2.85,0.81,4/7/2012 23:00,6.52,Mostly cloudy throughout the day.
4.76,partly-cloudy-night,0.31,2.1,0.84,12/2/2012 0:00,-1.55,Mostly cloudy starting in the afternoon.
8.67,partly-cloudy-day,0.59,0.59,0.92,11/4/2012 0:00,2.96,Mostly cloudy throughout the day.
11.97,wind,0.59,7.6,0.83,12/29/2012 0:00,7.28,Breezy until afternoon and partly cloudy throughout the day.
22.37,partly-cloudy-day,0.33,1.06,0.73,5/28/2012 23:00,14.25,Partly cloudy throughout the day.
17.51,partly-cloudy-day,0.32,1.01,0.67,6/12/2012 23:00,7.54,Partly cloudy until evening.
15.47,partly-cloudy-day,0.28,4.92,0.78,9/24/2012 23:00,9.74,Partly cloudy throughout the day.
10.18,partly-cloudy-day,0.39,5.05,0.88,12/26/2012 0:00,4.83,Partly cloudy throughout the day.
13.46,partly-cloudy-day,0.31,2.65,0.64,5/15/2012 23:00,3.89,Partly cloudy throughout the day.
15.39,partly-cloudy-day,0.53,3.15,0.81,3/10/2012 0:00,8.74,Partly cloudy throughout the day.
22.09,partly-cloudy-day,0.34,2.54,0.75,8/20/2012 23:00,16.27,Partly cloudy throughout the day.
17.53,wind,0.54,7.04,0.78,6/21/2012 23:00,11.44,Partly cloudy throughout the day and breezy until evening.
14.13,partly-cloudy-day,0.56,2.16,0.74,10/9/2012 23:00,7.04,Partly cloudy throughout the day.
16.22,partly-cloudy-day,0.75,4.53,0.82,5/20/2012 23:00,9.32,Mostly cloudy throughout the day.
6.27,partly-cloudy-night,0.32,3.03,0.78,1/15/2012 0:00,1.16,"Partly cloudy starting in the afternoon, continuing until evening."
10.18,partly-cloudy-day,0.49,1.03,0.75,4/3/2012 23:00,3.57,Partly cloudy throughout the day.
10.7,partly-cloudy-day,0.38,2.71,0.89,11/23/2012 0:00,5.12,Partly cloudy until evening.
2.63,partly-cloudy-day,0.58,2.66,0.75,2/7/2012 0:00,-2.83,Mostly cloudy throughout the day.
6.56,partly-cloudy-day,0.23,2.45,0.74,1/16/2012 0:00,0.83,Partly cloudy until evening.
14.73,fog,0.9,2.57,0.98,10/21/2012 23:00,12.02,Foggy throughout the day.
8.4,partly-cloudy-day,0.36,3.89,0.78,1/23/2012 0:00,3.46,Partly cloudy until evening.
22.04,partly-cloudy-day,0.37,2.6,0.7,8/22/2012 23:00,12.96,Partly cloudy throughout the day.
16.24,partly-cloudy-day,0.61,4.57,0.89,9/30/2012 23:00,12.37,Mostly cloudy throughout the day.
22.57,partly-cloudy-day,0.41,3.24,0.79,7/31/2012 23:00,13.69,Partly cloudy throughout the day.
9.07,fog,0.71,0.62,0.92,11/15/2012 0:00,6.45,Foggy in the morning.
13.28,partly-cloudy-day,0.85,4.37,0.95,6/10/2012 23:00,10.97,Mostly cloudy throughout the day.
10.47,partly-cloudy-day,0.78,6.68,0.84,2/22/2012 0:00,7.48,Mostly cloudy throughout the day.
11.65,partly-cloudy-day,0.66,4.83,0.76,2/21/2012 0:00,5.72,Mostly cloudy throughout the day.
20.96,wind,0.44,6.24,0.75,6/28/2012 23:00,13.96,Partly cloudy throughout the day and breezy until evening.
18.83,fog,0.08,2.12,0.74,3/24/2012 0:00,6.42,Foggy in the morning.
1.21,partly-cloudy-day,0.47,2.13,0.81,2/10/2012 0:00,-2.96,Partly cloudy until evening.
20.99,partly-cloudy-day,0.32,3.82,0.75,8/26/2012 23:00,12.62,Partly cloudy throughout the day.
28.88,partly-cloudy-day,0.21,0.76,0.72,8/18/2012 23:00,17.97,Partly cloudy until evening.
11.87,wind,0.45,2.82,0.91,11/21/2012 0:00,6.06,Partly cloudy until evening and breezy in the afternoon.
20.35,partly-cloudy-day,0.31,1.97,0.68,6/18/2012 23:00,10.1,Partly cloudy throughout the day.
9.37,wind,0.48,8.01,0.64,3/5/2012 0:00,4.04,Breezy until evening and partly cloudy throughout the day.
12.22,partly-cloudy-day,0.61,2.49,0.92,10/7/2012 23:00,9.51,Mostly cloudy throughout the day.
10.34,partly-cloudy-day,0.6,5.65,0.72,1/7/2012 0:00,7.6,Mostly cloudy throughout the day.
9.12,partly-cloudy-day,0.25,4.65,0.66,4/14/2012 23:00,3.3,Partly cloudy until evening.
10.61,partly-cloudy-day,0.51,3.42,0.74,2/16/2012 0:00,5.47,Partly cloudy throughout the day.
20.95,partly-cloudy-day,0.41,3.26,0.77,8/5/2012 23:00,14.77,Partly cloudy throughout the day.
22.57,partly-cloudy-day,0.26,2.67,0.77,8/14/2012 23:00,17.38,Partly cloudy throughout the day.
16.46,partly-cloudy-day,0.48,4.6,0.81,9/29/2012 23:00,6.42,Mostly cloudy throughout the day.
5.59,partly-cloudy-day,0.27,3.93,0.79,12/10/2012 0:00,1.55,Partly cloudy until evening.
11.92,fog,0.76,4.2,0.93,1/18/2012 0:00,4.51,Foggy in the morning.
12.87,partly-cloudy-day,0.8,3.69,0.83,6/11/2012 23:00,10.46,Mostly cloudy throughout the day.
14.34,partly-cloudy-day,0.36,4.65,0.8,10/2/2012 23:00,9.35,Partly cloudy throughout the day.
16.61,partly-cloudy-day,0.48,2.17,0.82,9/26/2012 23:00,10.57,Partly cloudy throughout the day.
13.21,partly-cloudy-day,0.66,0.51,0.95,10/18/2012 23:00,11.98,Mostly cloudy throughout the day.
11.27,partly-cloudy-day,0.7,3.17,0.8,11/9/2012 0:00,8.13,Mostly cloudy throughout the day.
2.7,fog,0.29,1.67,0.89,12/11/2012 0:00,-2.49,Foggy starting in the evening.
22.91,partly-cloudy-day,0.24,4.3,0.67,8/10/2012 23:00,15.21,Partly cloudy until evening.
12.02,fog,0.45,0.65,0.77,4/12/2012 23:00,3.97,Foggy in the morning.
10.31,partly-cloudy-day,0.49,2.38,0.91,11/10/2012 0:00,5.2,Mostly cloudy until evening.
11.17,partly-cloudy-day,0.39,4.93,0.86,12/15/2012 0:00,6.91,Partly cloudy throughout the day.
17.24,partly-cloudy-day,0.61,1.85,0.84,4/30/2012 23:00,11.28,Mostly cloudy throughout the day.
12.92,partly-cloudy-day,0.31,1.72,0.75,4/2/2012 23:00,5.04,Partly cloudy throughout the day.
19.89,partly-cloudy-day,0.36,0.9,0.7,7/20/2012 23:00,11.83,Partly cloudy throughout the day.
20.27,partly-cloudy-day,0.44,2.88,0.76,8/23/2012 23:00,14.07,Partly cloudy throughout the day.
14.48,partly-cloudy-day,0.52,2.54,0.82,5/6/2012 23:00,5.2,Partly cloudy throughout the day.
21.09,partly-cloudy-day,0.44,2.52,0.55,7/27/2012 23:00,14.93,Partly cloudy until evening.
13.03,partly-cloudy-day,0.31,2.97,0.84,10/14/2012 23:00,4.09,Partly cloudy throughout the day.
17.58,partly-cloudy-day,0.56,4.51,0.83,7/1/2012 23:00,12.47,Mostly cloudy throughout the day.
8.44,partly-cloudy-night,0.33,3.42,0.7,2/20/2012 0:00,-1.9,Partly cloudy throughout the day.
13.09,wind,0.54,7.58,0.81,11/22/2012 0:00,6.56,Breezy and mostly cloudy throughout the day.
9.17,partly-cloudy-day,0.42,3.13,0.88,10/27/2012 23:00,1.43,Partly cloudy throughout the day.
9.24,partly-cloudy-night,0.38,4.55,0.81,12/31/2012 0:00,4.22,Partly cloudy throughout the day.
9.33,wind,0.49,7.98,0.78,1/4/2012 0:00,5.27,Mostly cloudy throughout the day and windy starting in the evening.
13.61,partly-cloudy-day,0.81,5.16,0.91,10/24/2012 23:00,10.09,Mostly cloudy throughout the day.
14.05,fog,0.88,2.3,0.96,10/22/2012 23:00,12.46,Foggy throughout the day.
12.28,partly-cloudy-day,0.35,2.48,0.65,4/5/2012 23:00,0.34,Mostly cloudy throughout the day.
9.91,wind,0.58,3.43,0.97,11/24/2012 0:00,3.64,Foggy in the morning and breezy overnight.
12.67,partly-cloudy-day,0.28,1.43,0.74,2/26/2012 0:00,3.26,Partly cloudy throughout the day.
18.35,partly-cloudy-day,0.56,3.11,0.87,9/1/2012 23:00,12.57,Mostly cloudy throughout the day.
15.62,partly-cloudy-day,0.47,1.87,0.67,3/21/2012 0:00,7.44,Partly cloudy until evening.
29.86,partly-cloudy-day,0.23,2.17,0.59,8/17/2012 23:00,20.54,Partly cloudy until evening.
14.89,wind,0.7,4.98,0.86,4/28/2012 23:00,5.99,Breezy until afternoon and mostly cloudy throughout the day.
11.29,partly-cloudy-day,0.72,3.76,0.87,1/10/2012 0:00,9.16,Mostly cloudy throughout the day.
6.46,partly-cloudy-day,0.52,2.14,0.83,12/8/2012 0:00,3.17,Partly cloudy throughout the day.
25.45,partly-cloudy-day,0.31,1.93,0.78,5/23/2012 23:00,15.36,Partly cloudy until afternoon.
9.02,partly-cloudy-day,0.78,2.56,0.86,5/3/2012 23:00,7.38,Mostly cloudy throughout the day.
23.79,partly-cloudy-night,0.36,1.48,0.75,7/26/2012 23:00,15.93,Partly cloudy in the morning.
17.22,partly-cloudy-day,0.4,1.56,0.78,6/9/2012 23:00,8.91,Partly cloudy throughout the day.
17.29,wind,0.6,4.24,0.86,6/6/2012 23:00,12.6,Mostly cloudy throughout the day and breezy starting in the evening.
21.16,partly-cloudy-day,0.32,2.63,0.64,6/19/2012 23:00,11.47,Partly cloudy throughout the day.
11.83,partly-cloudy-day,0.59,3.64,0.84,2/17/2012 0:00,7.13,Mostly cloudy throughout the day.
10.89,fog,0.79,1.55,0.86,3/13/2012 0:00,6.36,Foggy in the morning.
18.7,partly-cloudy-day,0.39,2.46,0.82,7/5/2012 23:00,14.78,Partly cloudy throughout the day.
9.1,partly-cloudy-night,0.32,3.79,0.86,12/17/2012 0:00,5.62,Partly cloudy throughout the day.
13.08,partly-cloudy-day,0.53,5.51,0.86,12/23/2012 0:00,9.34,Partly cloudy throughout the day.
12.74,partly-cloudy-day,0.54,2.47,0.85,2/29/2012 0:00,9.61,Mostly cloudy until evening.
18.81,partly-cloudy-day,0.78,3.64,0.9,7/2/2012 23:00,15.43,Mostly cloudy throughout the day.
12.18,partly-cloudy-day,0.5,3.06,0.92,11/12/2012 0:00,4.52,Mostly cloudy throughout the day.
26.44,partly-cloudy-day,0.12,2.8,0.61,7/25/2012 23:00,15.93,Partly cloudy until afternoon.
12.18,partly-cloudy-day,0.87,4.33,0.82,5/19/2012 23:00,9.06,Mostly cloudy throughout the day.
27.18,partly-cloudy-day,0.19,3.21,0.58,7/22/2012 23:00,12.47,Partly cloudy until evening.
8.68,partly-cloudy-night,0.25,3.33,0.78,1/27/2012 0:00,2.93,Partly cloudy throughout the day.
19.88,wind,0.54,4.44,0.77,6/23/2012 23:00,11.65,Partly cloudy until evening and breezy until afternoon.
17.54,partly-cloudy-day,0.71,4.71,0.81,6/1/2012 23:00,11.83,Mostly cloudy throughout the day.
9.54,partly-cloudy-day,0.51,4.51,0.8,1/26/2012 0:00,3.15,Partly cloudy throughout the day.
21.67,partly-cloudy-day,0.42,4.22,0.71,8/15/2012 23:00,16.02,Partly cloudy throughout the day.
1.93,clear-day,0.04,0.92,0.78,2/11/2012 0:00,-5.64,Clear throughout the day.
